DeviceRowID,Value,Usage,Date
127,30325981,3500,2022-08-09 12:50:00
127,30326004,3600,2022-08-09 12:55:00
127,30326026,3500,2022-08-09 13:00:00
127,30326051,3700,2022-08-09 13:05:00
127,30326077,3800,2022-08-09 13:10:00
127,30326104,3700,2022-08-09 13:15:00
127,30326130,3700,2022-08-09 13:20:00
127,30326156,3700,2022-08-09 13:25:00
127,30326182,3700,2022-08-09 13:30:00
127,30326207,3700,2022-08-09 13:35:00
127,30326232,3700,2022-08-09 13:40:00
127,30326256,3400,2022-08-09 13:45:00
127,30326278,3400,2022-08-09 13:50:00
127,30326299,3500,2022-08-09 13:55:00
127,30326321,3500,2022-08-09 14:00:00
127,30326343,3400,2022-08-09 14:05:00
127,30326366,3700,2022-08-09 14:10:00
127,30326396,4000,2022-08-09 14:15:00
127,30326425,3700,2022-08-09 14:20:00
127,30326451,3700,2022-08-09 14:25:00
127,30326476,3700,2022-08-09 14:30:00
127,30326502,3700,2022-08-09 14:35:00
127,30326525,3400,2022-08-09 14:40:00
127,30326545,3300,2022-08-09 14:45:00
127,30326567,3200,2022-08-09 14:50:00
127,30326585,3100,2022-08-09 14:55:00
127,30326604,3100,2022-08-09 15:00:00
127,30326622,3000,2022-08-09 15:05:00
127,30326640,3000,2022-08-09 15:10:00
127,30326661,3400,2022-08-09 15:15:00
127,30326687,3600,2022-08-09 15:20:00
127,30326712,3300,2022-08-09 15:25:00
127,30326735,3300,2022-08-09 15:30:00
127,30326757,3300,2022-08-09 15:35:00
127,30326778,3100,2022-08-09 15:40:00
127,30326796,3000,2022-08-09 15:45:00
127,30326815,3300,2022-08-09 15:50:00
127,30326837,3200,2022-08-09 15:55:00
127,30326857,3000,2022-08-09 16:00:00
127,30326875,3100,2022-08-09 16:05:00
127,30326893,3100,2022-08-09 16:10:00
127,30326913,3400,2022-08-09 16:15:00
127,30326936,3400,2022-08-09 16:20:00
127,30326961,3600,2022-08-09 16:25:00
127,30326987,3600,2022-08-09 16:30:00
127,30327012,3600,2022-08-09 16:35:00
127,30327035,3100,2022-08-09 16:40:00
127,30327053,3100,2022-08-09 16:45:00
127,30327072,3100,2022-08-09 16:50:00
127,30327090,3100,2022-08-09 16:55:00
127,30327109,3300,2022-08-09 17:00:00
127,30327131,3300,2022-08-09 17:05:00
127,30327151,3100,2022-08-09 17:10:00
127,30327170,3400,2022-08-09 17:15:00
127,30327193,3400,2022-08-09 17:20:00
127,30327216,3300,2022-08-09 17:25:00
127,30327239,3300,2022-08-09 17:30:00
127,30327263,3600,2022-08-09 17:35:00
127,30327289,3600,2022-08-09 17:40:00
127,30327308,3000,2022-08-09 17:45:00
127,30327326,3100,2022-08-09 17:50:00
127,30327344,3100,2022-08-09 17:55:00
127,30327363,3100,2022-08-09 18:00:00
127,30327381,3000,2022-08-09 18:05:00
127,30327403,3300,2022-08-09 18:10:00
127,30327424,3600,2022-08-09 18:15:00
127,30327450,3300,2022-08-09 18:20:00
127,30327472,3300,2022-08-09 18:25:00
127,30327495,3300,2022-08-09 18:30:00
127,30327517,3300,2022-08-09 18:35:00
127,30327540,3300,2022-08-09 18:40:00
127,30327561,3300,2022-08-09 18:45:00
127,30327583,3300,2022-08-09 18:50:00
127,30327602,3100,2022-08-09 18:55:00
127,30327620,3100,2022-08-09 19:00:00
127,30327639,3100,2022-08-09 19:05:00
127,30327657,3100,2022-08-09 19:10:00
127,30327676,3400,2022-08-09 19:15:00
127,30327703,3600,2022-08-09 19:20:00
127,30327727,3300,2022-08-09 19:25:00
127,30327750,3300,2022-08-09 19:30:00
127,30327773,3300,2022-08-09 19:35:00
127,30327796,3600,2022-08-09 19:40:00
127,30327817,3300,2022-08-09 19:45:00
127,30327840,3600,2022-08-09 19:50:00
127,30327866,4400,2022-08-09 19:55:00
127,30327899,5200,2022-08-09 20:00:00
127,30327934,5000,2022-08-09 20:05:00
127,30327968,5000,2022-08-09 20:10:00
127,30328003,4900,2022-08-09 20:15:00
127,30328039,4800,2022-08-09 20:20:00
127,30328078,5700,2022-08-09 20:25:00
127,30328119,5400,2022-08-09 20:30:00
127,30328159,5000,2022-08-09 20:35:00
127,30328198,5200,2022-08-09 20:40:00
127,30328237,5300,2022-08-09 20:45:00
127,30328276,5400,2022-08-09 20:50:00
127,30328315,5200,2022-08-09 20:55:00
127,30328356,5400,2022-08-09 21:00:00
127,30328395,5100,2022-08-09 21:05:00
127,30328429,4300,2022-08-09 21:10:00
127,30328460,4400,2022-08-09 21:15:00
127,30328491,4700,2022-08-09 21:20:00
127,30328523,4800,2022-08-09 21:25:00
127,30328556,4700,2022-08-09 21:30:00
127,30328590,4800,2022-08-09 21:35:00
127,30328626,4800,2022-08-09 21:40:00
127,30328663,5000,2022-08-09 21:45:00
127,30328700,4800,2022-08-09 21:50:00
127,30328736,4800,2022-08-09 21:55:00
127,30328773,5100,2022-08-09 22:00:00
127,30328811,5400,2022-08-09 22:05:00
127,30328850,5200,2022-08-09 22:10:00
127,30328886,4500,2022-08-09 22:15:00
127,30328918,4600,2022-08-09 22:20:00
127,30328950,4300,2022-08-09 22:25:00
127,30328977,20500,2022-08-09 22:30:00
