DeviceRowID,Value,Usage,Date
126,28953726,3400,2022-08-09 05:05:00
126,28953749,3400,2022-08-09 05:10:00
126,28953772,3300,2022-08-09 05:15:00
126,28953792,3100,2022-08-09 05:20:00
126,28953810,3100,2022-08-09 05:25:00
126,28953831,3300,2022-08-09 05:30:00
126,28953851,3200,2022-08-09 05:35:00
126,28953865,3100,2022-08-09 05:40:00
126,28953880,3100,2022-08-09 05:45:00
126,28953894,3000,2022-08-09 05:50:00
126,28953914,3200,2022-08-09 05:55:00
126,28953933,3300,2022-08-09 06:00:00
126,28953953,3400,2022-08-09 06:05:00
126,28953975,3200,2022-08-09 06:10:00
126,28953994,3200,2022-08-09 06:15:00
126,28954010,3000,2022-08-09 06:20:00
126,28954025,3100,2022-08-09 06:25:00
126,28954039,3000,2022-08-09 06:30:00
126,28954039,3000,2022-08-09 06:35:00
126,28954039,3200,2022-08-09 06:40:00
126,28954039,3000,2022-08-09 06:45:00
126,28954039,3000,2022-08-09 06:50:00
126,28954039,3200,2022-08-09 06:55:00
126,28954039,3200,2022-08-09 07:00:00
126,28954039,3200,2022-08-09 07:05:00
126,28954039,3200,2022-08-09 07:10:00
126,28954039,3700,2022-08-09 07:15:00
126,28954039,3100,2022-08-09 07:20:00
126,28954039,3100,2022-08-09 07:25:00
126,28954039,3100,2022-08-09 07:30:00
126,28954039,3100,2022-08-09 07:35:00
126,28954039,3100,2022-08-09 07:40:00
126,28954039,3100,2022-08-09 07:45:00
126,28954039,3300,2022-08-09 07:50:00
126,28954039,3300,2022-08-09 07:55:00
126,28954039,3400,2022-08-09 08:00:00
126,28954039,3400,2022-08-09 08:05:00
126,28954039,3400,2022-08-09 08:10:00
126,28954039,3300,2022-08-09 08:15:00
126,28954039,3300,2022-08-09 08:20:00
126,28954039,3300,2022-08-09 08:25:00
126,28954039,3300,2022-08-09 08:30:00
126,28954039,3100,2022-08-09 08:35:00
126,28954039,3100,2022-08-09 08:40:00
126,28954039,3100,2022-08-09 08:45:00
126,28954039,3100,2022-08-09 08:50:00
126,28954039,3100,2022-08-09 08:55:00
126,28954039,3200,2022-08-09 09:00:00
126,28954039,3400,2022-08-09 09:05:00
126,28954039,3200,2022-08-09 09:10:00
126,28954039,3200,2022-08-09 09:15:00
126,28954039,3200,2022-08-09 09:20:00
126,28954039,3000,2022-08-09 09:25:00
126,28954039,3000,2022-08-09 09:30:00
126,28954039,3000,2022-08-09 09:35:00
126,28954039,3200,2022-08-09 09:40:00
126,28954039,3000,2022-08-09 09:45:00
126,28954039,3000,2022-08-09 09:50:00
126,28954039,3000,2022-08-09 09:55:00
126,28954039,3000,2022-08-09 10:00:00
126,28954039,3200,2022-08-09 10:05:00
126,28954039,3500,2022-08-09 10:10:00
126,28954039,3400,2022-08-09 10:15:00
126,28954039,3200,2022-08-09 10:20:00
126,28954039,3200,2022-08-09 10:25:00
126,28954039,3000,2022-08-09 10:30:00
126,28954039,3000,2022-08-09 10:35:00
126,28954039,3200,2022-08-09 10:40:00
126,28954039,3400,2022-08-09 10:45:00
126,28954039,3400,2022-08-09 10:50:00
126,28954039,3100,2022-08-09 10:55:00
126,28954039,3100,2022-08-09 11:00:00
126,28954039,3400,2022-08-09 11:05:00
126,28954039,3400,2022-08-09 11:10:00
126,28954039,3300,2022-08-09 11:15:00
126,28954039,3600,2022-08-09 11:20:00
126,28954039,3600,2022-08-09 11:25:00
126,28954039,3100,2022-08-09 11:30:00
126,28954039,3100,2022-08-09 11:35:00
126,28954039,3100,2022-08-09 11:40:00
126,28954039,3100,2022-08-09 11:45:00
126,28954039,3100,2022-08-09 11:50:00
126,28954039,3300,2022-08-09 11:55:00
126,28954039,3100,2022-08-09 12:00:00
126,28954039,8600,2022-08-09 12:05:00
126,28954039,3400,2022-08-09 12:10:00
126,28954039,3300,2022-08-09 12:15:00
126,28954039,3400,2022-08-09 12:20:00
126,28954039,3700,2022-08-09 12:25:00
126,28954039,3600,2022-08-09 12:30:00
126,28954039,3300,2022-08-09 12:35:00
126,28954039,4000,2022-08-09 12:40:00
126,28954039,3500,2022-08-09 12:45:00
126,28954039,3500,2022-08-09 12:50:00
126,28954039,3600,2022-08-09 12:55:00
126,28954039,3500,2022-08-09 13:00:00
126,28954039,3700,2022-08-09 13:05:00
126,28954039,3800,2022-08-09 13:10:00
126,28954039,3700,2022-08-09 13:15:00
126,28954039,3700,2022-08-09 13:20:00
126,28954039,3700,2022-08-09 13:25:00
126,28954039,3700,2022-08-09 13:30:00
126,28954039,3700,2022-08-09 13:35:00
126,28954039,3700,2022-08-09 13:40:00
126,28954039,3400,2022-08-09 13:45:00
126,28954039,3400,2022-08-09 13:50:00
126,28954039,3500,2022-08-09 13:55:00
126,28954039,3500,2022-08-09 14:00:00
126,28954039,3400,2022-08-09 14:05:00
126,28954039,3700,2022-08-09 14:10:00
126,28954039,4000,2022-08-09 14:15:00
126,28954039,3700,2022-08-09 14:20:00
126,28954039,3700,2022-08-09 14:25:00
126,28954039,3700,2022-08-09 14:30:00
126,28954039,3700,2022-08-09 14:35:00
126,28954039,3400,2022-08-09 14:40:00
