DeviceRowID,Temperature,Chill,Humidity,Barometer,DewPoint,SetPoint,Date
458,11.6,0,91,0,10.18,0,2019-12-08 16:35:03
460,21.5,0,54,0,11.8,0,2019-12-08 16:35:03
484,20.9,0,53,0,10.96,0,2019-12-08 16:35:03
458,11.5,0,91,0,10.08,0,2019-12-08 16:40:08
460,21.5,0,54,0,11.8,0,2019-12-08 16:40:08
484,20.9,0,53,0,10.96,0,2019-12-08 16:40:08
458,11.5,0,91,0,10.08,0,2019-12-08 16:45:04
460,21.5,0,54,0,11.8,0,2019-12-08 16:45:04
484,20.9,0,53,0,10.96,0,2019-12-08 16:45:04
458,11.5,0,91,0,10.08,0,2019-12-08 16:50:02
460,21.5,0,54,0,11.8,0,2019-12-08 16:50:02
484,20.9,0,53,0,10.96,0,2019-12-08 16:50:02
458,11.4,0,91,0,9.98,0,2019-12-08 16:55:02
460,21.5,0,54,0,11.8,0,2019-12-08 16:55:02
484,20.9,0,53,0,10.96,0,2019-12-08 16:55:02
458,11.4,0,91,0,9.98,0,2019-12-08 17:00:03
460,21.5,0,54,0,11.8,0,2019-12-08 17:00:03
484,20.9,0,53,0,10.96,0,2019-12-08 17:00:03
458,11.3,0,91,0,9.88,0,2019-12-08 17:05:03
460,21.5,0,54,0,11.8,0,2019-12-08 17:05:03
484,20.9,0,53,0,10.96,0,2019-12-08 17:05:03
458,11.3,0,90,0,9.72,0,2019-12-08 17:10:02
460,21.5,0,53,0,11.52,0,2019-12-08 17:10:02
484,20.9,0,53,0,10.96,0,2019-12-08 17:10:02
458,11.2,0,90,0,9.62,0,2019-12-08 17:15:04
460,21.5,0,53,0,11.52,0,2019-12-08 17:15:04
484,20.9,0,53,0,10.96,0,2019-12-08 17:15:04
499,13.4,0,83,0,10.57,0,2019-12-08 17:15:04
458,11.2,0,90,0,9.62,0,2019-12-08 17:20:02
460,21.5,0,53,0,11.52,0,2019-12-08 17:20:02
484,20.8,0,53,0,10.87,0,2019-12-08 17:20:02
499,13.4,0,83,0,10.57,0,2019-12-08 17:20:02
458,11.2,0,90,0,9.62,0,2019-12-08 17:25:02
460,21.5,0,53,0,11.52,0,2019-12-08 17:25:02
484,20.8,0,53,0,10.87,0,2019-12-08 17:25:02
499,13.3,0,82,0,10.29,0,2019-12-08 17:25:02
458,11.1,0,90,0,9.52,0,2019-12-08 17:30:01
460,21.3,0,53,0,11.33,0,2019-12-08 17:30:01
484,20.8,0,53,0,10.87,0,2019-12-08 17:30:01
499,13.3,0,82,0,10.29,0,2019-12-08 17:30:01
458,11.1,0,90,0,9.52,0,2019-12-08 17:35:03
460,21.3,0,53,0,11.33,0,2019-12-08 17:35:03
484,20.8,0,53,0,10.87,0,2019-12-08 17:35:03
499,13.3,0,82,0,10.29,0,2019-12-08 17:35:03
458,11.1,0,90,0,9.52,0,2019-12-08 17:40:02
460,21.3,0,53,0,11.33,0,2019-12-08 17:40:02
484,20.8,0,53,0,10.87,0,2019-12-08 17:40:02
499,13.3,0,82,0,10.29,0,2019-12-08 17:40:02
458,11.1,0,90,0,9.52,0,2019-12-08 17:45:01
460,21.3,0,53,0,11.33,0,2019-12-08 17:45:01
484,20.8,0,53,0,10.87,0,2019-12-08 17:45:01
499,13.3,0,82,0,10.29,0,2019-12-08 17:45:01
458,11,0,90,0,9.42,0,2019-12-08 17:50:01
460,21.3,0,53,0,11.33,0,2019-12-08 17:50:01
484,20.8,0,53,0,10.87,0,2019-12-08 17:50:01
499,13.3,0,82,0,10.29,0,2019-12-08 17:50:01
458,11,0,90,0,9.42,0,2019-12-08 17:55:02
460,21.3,0,53,0,11.33,0,2019-12-08 17:55:02
484,20.8,0,53,0,10.87,0,2019-12-08 17:55:02
499,13.3,0,82,0,10.29,0,2019-12-08 17:55:02
458,11,0,90,0,9.42,0,2019-12-08 18:00:03
460,21.3,0,53,0,11.33,0,2019-12-08 18:00:03
484,20.8,0,53,0,10.87,0,2019-12-08 18:00:03
499,13.3,0,82,0,10.29,0,2019-12-08 18:00:03
458,10.9,0,91,0,9.49,0,2019-12-08 18:05:03
460,21.3,0,53,0,11.33,0,2019-12-08 18:05:03
484,20.8,0,53,0,10.87,0,2019-12-08 18:05:03
499,13.3,0,82,0,10.29,0,2019-12-08 18:05:03
458,10.9,0,91,0,9.49,0,2019-12-08 18:10:03
460,21.3,0,53,0,11.33,0,2019-12-08 18:10:03
484,20.7,0,52,0,10.49,0,2019-12-08 18:10:03
499,13.3,0,82,0,10.29,0,2019-12-08 18:10:03
458,10.9,0,90,0,9.32,0,2019-12-08 18:15:01
460,21.3,0,52,0,11.05,0,2019-12-08 18:15:01
484,20.7,0,52,0,10.49,0,2019-12-08 18:15:01
499,13.3,0,82,0,10.29,0,2019-12-08 18:15:01
458,10.9,0,90,0,9.32,0,2019-12-08 18:20:06
460,21.3,0,52,0,11.05,0,2019-12-08 18:20:06
484,20.7,0,52,0,10.49,0,2019-12-08 18:20:06
499,13.3,0,82,0,10.29,0,2019-12-08 18:20:06
458,10.9,0,90,0,9.32,0,2019-12-08 18:25:02
460,21.3,0,52,0,11.05,0,2019-12-08 18:25:02
484,20.7,0,52,0,10.49,0,2019-12-08 18:25:02
499,13.3,0,82,0,10.29,0,2019-12-08 18:25:02
458,10.8,0,90,0,9.22,0,2019-12-08 18:30:00
460,21.3,0,52,0,11.05,0,2019-12-08 18:30:00
484,20.7,0,52,0,10.49,0,2019-12-08 18:30:00
499,13.3,0,82,0,10.29,0,2019-12-08 18:30:00
458,10.8,0,90,0,9.22,0,2019-12-08 18:35:07
460,21.3,0,52,0,11.05,0,2019-12-08 18:35:07
484,20.7,0,52,0,10.49,0,2019-12-08 18:35:07
499,13.3,0,82,0,10.29,0,2019-12-08 18:35:07
458,10.9,0,90,0,9.32,0,2019-12-08 18:40:05
460,21.3,0,51,0,10.75,0,2019-12-08 18:40:05
484,20.7,0,52,0,10.49,0,2019-12-08 18:40:05
499,13.3,0,82,0,10.29,0,2019-12-08 18:40:05
458,10.9,0,90,0,9.32,0,2019-12-08 18:45:01
460,21.3,0,51,0,10.75,0,2019-12-08 18:45:01
484,20.7,0,52,0,10.49,0,2019-12-08 18:45:01
499,13.3,0,82,0,10.29,0,2019-12-08 18:45:01
458,10.9,0,90,0,9.32,0,2019-12-08 18:50:00
460,21.3,0,51,0,10.75,0,2019-12-08 18:50:00
484,20.6,0,52,0,10.4,0,2019-12-08 18:50:00
499,13.3,0,82,0,10.29,0,2019-12-08 18:50:00
